section,model,case_id,retrieved_case,rank,metric,value,explanation,doctor_note,semantic_distance_note
encoder_comparison,autoencoder_hybrid_0.75,,,,ndcg_at_5,0.9755,Mean nDCG@5 over all query cases.,Higher nDCG means the most relevant cases appear earlier in the ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_hybrid_0.75,,,,mean_semantic_distance_at_5,1.7901,Mean semantic distance of retrieved top-5 cases.,Lower semantic distance means closer tumor morphology according to mask-derived features.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_hybrid_0.75,,,,precision_at_5,0.9946,Mean precision@5 over all query cases.,Higher precision means more retrieved cases are semantically close to the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_hybrid_0.75,,,,recall_at_5,0.4973,Mean recall@5 over all query cases.,Higher recall means the retrieved set captures more of the semantic neighborhood around the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_hybrid_0.75,,,,ndcg_at_5,0.9942,Mean nDCG@5 over all query cases.,Higher nDCG means the most relevant cases appear earlier in the ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_hybrid_0.75,,,,mean_semantic_distance_at_5,1.7390,Mean semantic distance of retrieved top-5 cases.,Lower semantic distance means closer tumor morphology according to mask-derived features.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,semantic_only_oracle,,,,precision_at_5,1.0000,Mean precision@5 over all query cases.,Higher precision means more retrieved cases are semantically close to the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,semantic_only_oracle,,,,recall_at_5,0.5000,Mean recall@5 over all query cases.,Higher recall means the retrieved set captures more of the semantic neighborhood around the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,semantic_only_oracle,,,,ndcg_at_5,1.0000,Mean nDCG@5 over all query cases.,Higher nDCG means the most relevant cases appear earlier in the ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,semantic_only_oracle,,,,mean_semantic_distance_at_5,1.7200,Mean semantic distance of retrieved top-5 cases.,Lower semantic distance means closer tumor morphology according to mask-derived features.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
model_interpretation,contrastive_encoder,,,,main_finding,visual encoder improved,"Contrastive training improved visual-only retrieval from Precision@5=0.0413 to Precision@5=0.4082, and from nDCG@5=0.5070 to nDCG@5=0.7539.","The visual encoder is now more aligned with tumor morphology, but semantic mask features remain the strongest signal.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_089,1,semantic_distance,0.026,tumor_volume_fraction_brain close; extent_max close; enhancing_fraction_tumor close,"This retrieved case is similar to the query case based on tumor volume, tumor composition, centroid location, and tumor extent features.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_089,1,hybrid_distance,0.044,Hybrid distance combines semantic tumor features and visual embedding distance.,"This score should be interpreted as relative similarity, not diagnostic equivalence.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_089,1,visual_distance,0.098,Distance from the learned image embedding.,Lower visual distance means the image encoder considers the cases visually closer.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_243,2,semantic_distance,0.000,tumor_volume_fraction_brain close; centroid_x close; extent_max close,"This retrieved case is similar to the query case based on tumor volume, tumor composition, centroid location, and tumor extent features.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_243,2,hybrid_distance,0.045,Hybrid distance combines semantic tumor features and visual embedding distance.,"This score should be interpreted as relative similarity, not diagnostic equivalence.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_243,2,visual_distance,0.180,Distance from the learned image embedding.,Lower visual distance means the image encoder considers the cases visually closer.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_220,3,semantic_distance,0.069,tumor_volume_fraction_brain close; enhancing_fraction_tumor close; centroid_x close,"This retrieved case is similar to the query case based on tumor volume, tumor composition, centroid location, and tumor extent features.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_220,3,hybrid_distance,0.062,Hybrid distance combines semantic tumor features and visual embedding distance.,"This score should be interpreted as relative similarity, not diagnostic equivalence.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_220,3,visual_distance,0.043,Distance from the learned image embedding.,Lower visual distance means the image encoder considers the cases visually closer.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_358,4,semantic_distance,0.012,tumor_volume_fraction_brain close; centroid_y close; centroid_x close,"This retrieved case is similar to the query case based on tumor volume, tumor composition, centroid location, and tumor extent features.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_358,4,hybrid_distance,0.064,Hybrid distance combines semantic tumor features and visual embedding distance.,"This score should be interpreted as relative similarity, not diagnostic equivalence.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_358,4,visual_distance,0.217,Distance from the learned image embedding.,Lower visual distance means the image encoder considers the cases visually closer.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_104,5,semantic_distance,0.080,centroid_x close; tumor_volume_fraction_brain close; extent_max close,"This retrieved case is similar to the query case based on tumor volume, tumor composition, centroid location, and tumor extent features.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_104,5,hybrid_distance,0.067,Hybrid distance combines semantic tumor features and visual embedding distance.,"This score should be interpreted as relative similarity, not diagnostic equivalence.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
retrieval_explanation,contrastive_hybrid_or_current_hybrid,BraTS20_Training_367,BraTS20_Training_104,5,visual_distance,0.027,Distance from the learned image embedding.,Lower visual distance means the image encoder considers the cases visually closer.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_307,,,failure_gap_vs_oracle,0.055,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_307,,,ndcg_at_5,0.935,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_307,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_192,,,failure_gap_vs_oracle,0.053,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_192,,,ndcg_at_5,0.956,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_192,,,precision_at_5,0.800,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_153,,,failure_gap_vs_oracle,0.051,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_153,,,ndcg_at_5,0.956,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_153,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_258,,,failure_gap_vs_oracle,0.042,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_258,,,ndcg_at_5,0.953,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_258,,,precision_at_5,0.800,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_181,,,failure_gap_vs_oracle,0.039,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_181,,,ndcg_at_5,0.961,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_181,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_103,,,failure_gap_vs_oracle,0.036,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_103,,,ndcg_at_5,0.973,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_103,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_024,,,failure_gap_vs_oracle,0.035,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_024,,,ndcg_at_5,0.974,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_024,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_089,,,failure_gap_vs_oracle,0.035,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_089,,,ndcg_at_5,0.974,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_089,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_347,,,failure_gap_vs_oracle,0.035,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_347,,,ndcg_at_5,0.969,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_347,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_133,,,failure_gap_vs_oracle,0.034,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_133,,,ndcg_at_5,0.967,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_133,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_140,,,failure_gap_vs_oracle,0.032,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_140,,,ndcg_at_5,0.968,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_140,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_228,,,failure_gap_vs_oracle,0.032,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_228,,,ndcg_at_5,0.974,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_228,,,precision_at_5,0.800,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_325,,,failure_gap_vs_oracle,0.031,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_325,,,ndcg_at_5,0.978,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_325,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_124,,,failure_gap_vs_oracle,0.030,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_124,,,ndcg_at_5,0.963,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_124,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_304,,,failure_gap_vs_oracle,0.030,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_304,,,ndcg_at_5,0.973,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_304,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_206,,,failure_gap_vs_oracle,0.029,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_206,,,ndcg_at_5,0.976,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_206,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_098,,,failure_gap_vs_oracle,0.029,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_098,,,ndcg_at_5,0.977,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_098,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_281,,,failure_gap_vs_oracle,0.029,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_281,,,ndcg_at_5,0.966,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_281,,,precision_at_5,1.000,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_118,,,failure_gap_vs_oracle,0.028,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_118,,,ndcg_at_5,0.971,Ranking quality for this query case.,High nDCG means the retrieved cases remain close to the ideal semantic ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_118,,,precision_at_5,0.600,Fraction of top-5 retrieved cases that belong to the top semantic neighborhood.,This helps identify whether the retrieved cases are clinically plausible neighbors.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
failure_case,hybrid_0.75,BraTS20_Training_183,,,failure_gap_vs_oracle,0.027,Difference between hybrid retrieval and semantic-only oracle retrieval. Larger values indicate a stronger ranking error.,"Even the worst cases remain close to the oracle, so errors are mostly mild ranking errors.","semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
